
Start val:
------------办------------- => 办                   , gt: 办                   
-------左--n--------------- => 左n                  , gt: 左n                  
-----------d--------旦----- => d旦                  , gt: d旦                  
-----叫---车---------------- => 叫车                  , gt: 叫车                  
-----u--bb---------------- => ub                  , gt: ub                  
-----------刀--------扔----- => 刀扔                  , gt: 刀扔                  
----e-------6------------- => e6                  , gt: e6                  
----g---v----------------- => gv                  , gt: gv                  
----------------88--6----- => 86                  , gt: 86                  
------大----匀匀------------- => 大匀                  , gt: 大匀                  
--------礼-----饥----------- => 礼饥                  , gt: 礼饥                  
--------------亡------兰---- => 亡兰                  , gt: 亡兰                  
-----------失---zz--------- => 失z                  , gt: 失z                  
---------支-----ww--------- => 支w                  , gt: 支w                  
----------打------以-------- => 打以                  , gt: 打以                  
----八八----------饥--------- => 八饥                  , gt: 八饥                  
---------勾----1----------- => 勾1                  , gt: 勾1                  
-----------平-----夕-------- => 平夕                  , gt: 平夕                  
-----刃--------9----------- => 刃9                  , gt: 刃9                  
----j----------bb--------- => jb                  , gt: jb                  
----------2----i---------- => 2i                  , gt: 2i                  
--------e---h------------- => eh                  , gt: eh                  
----扑---------讨讨---------- => 扑讨                  , gt: 扑讨                  
-------l--------x--------- => lx                  , gt: lx                  
----区区---------0---------- => 区0                  , gt: 区0                  
-------只------以----------- => 只以                  , gt: 只以                  
------nn--------jj-------- => nj                  , gt: nj                  
-----仍------长长------------ => 仍长                  , gt: 仍长                  
-----------------帅----失--- => 帅失                  , gt: 帅失                  
-------1------旧----------- => 1旧                  , gt: 1旧                  
----------闪--------匆------ => 闪匆                  , gt: 闪匆                  
----k---g----------------- => kg                  , gt: kg                  
----5-----------nn-------- => 5n                  , gt: 5n                  
----l---厂----------------- => l厂                  , gt: l厂                  
----叮叮---以以--------------- => 叮以                  , gt: 叮以                  
-------------l------x----- => lx                  , gt: lx                  
---------水------化化-------- => 水化                  , gt: 水化                  
----------t--h------------ => th                  , gt: th                  
-----x----------马--------- => x马                  , gt: x马                  
----------t------q-------- => tq                  , gt: tq                  
-----万------------m------- => 万m                  , gt: 万m                  
-----及-----------手-------- => 及手                  , gt: 及手                  
---------丈------人--------- => 丈人                  , gt: 丈人                  
----扔---申----------------- => 扔申                  , gt: 扔申                  
---------------布-----历历--- => 布历                  , gt: 布历                  
----今-------------写------- => 今写                  , gt: 今写                  
----b---------0----------- => b0                  , gt: b0                  
----q-----------n--------- => qn                  , gt: qn                  
---------9---------x------ => 9x                  , gt: 9x                  
------------区---太--------- => 区太                  , gt: 区太                  
----------d----2---------- => d2                  , gt: d2                  
---------代------双--------- => 代双                  , gt: 代双                  
---------了--------飞------- => 了飞                  , gt: 了飞                  
-------匆------允----------- => 匆允                  , gt: 匆允                  
-----------丹-----k-------- => 丹k                  , gt: 丹k                  
--------------电---轧------- => 电轧                  , gt: 电轧                  
-----m---------------3---- => m3                  , gt: m3                  
--------------王---半------- => 王半                  , gt: 王半                  
------------儿------马马----- => 儿马                  , gt: 儿马                  
----o--i------------------ => oi                  , gt: oi                  
-----------风------夫------- => 风夫                  , gt: 风夫                  
--------h-----及----------- => h及                  , gt: h及                  
-------------可--r--------- => 可r                  , gt: 可r                  
-----又--------------友----- => 又友                  , gt: 又友                  
----v----------r---------- => vr                  , gt: vr                  
----门----------互---------- => 门互                  , gt: 门互                  
--------------c--55------- => c5                  , gt: c5                  
--------斗-----------父----- => 斗父                  , gt: 斗父                  
----r---------不----------- => r不                  , gt: r不                  
--------6--0-------------- => 60                  , gt: 60                  
---ss-ff------------------ => sf                  , gt: sf                  
---------亏---------开------ => 亏开                  , gt: 亏开                  
--------------申------mm--- => 申m                  , gt: 申m                  
----甩----------------区---- => 甩区                  , gt: 甩区                  
-----田---右---------------- => 田右                  , gt: 田右                  
----寸--1------------------ => 寸1                  , gt: 寸1                  
--------f------少---------- => f少                  , gt: f少                  
----九--------------不------ => 九不                  , gt: 九不                  
-------反--q--------------- => 反q                  , gt: 旦q                  
--------训------s---------- => 训s                  , gt: 训s                  
----7------d-------------- => 7d                  , gt: 7d                  
-------------左左--欠-------- => 左欠                  , gt: 左欠                  
-----于---------------斗---- => 于斗                  , gt: 于斗                  
-------88--玉-------------- => 8玉                  , gt: 8玉                  
-------目---------帅-------- => 目帅                  , gt: 目帅                  
-------p-----u------------ => pu                  , gt: pu                  
-------玉玉---------之------- => 玉之                  , gt: 玉之                  
-----未--------------文----- => 未文                  , gt: 未文                  
-----只-------------o------ => 只o                  , gt: 只o                  
----------jj----l--------- => jl                  , gt: jl                  
----布-----------四--------- => 布四                  , gt: 布四                  
------叮----------击击------- => 叮击                  , gt: 叮击                  
-----月---------------车车--- => 月车                  , gt: 月车                  
----------------女----2---- => 女2                  , gt: 女2                  
---11--------9------------ => 19                  , gt: 19                  
---------------5---4------ => 54                  , gt: 54                  
-------------h--jj-------- => hj                  , gt: hj                  
-----------------仔---6---- => 仔6                  , gt: 仔6                  
-------禾禾-----玉----------- => 禾玉                  , gt: 禾玉                  
--------气气---------专------ => 气专                  , gt: 气专                  
----8------凶-------------- => 8凶                  , gt: 8凶                  
-------汉--i--------------- => 汉i                  , gt: 汉i                  
----ee--------6----------- => e6                  , gt: e6                  
-----------f--ee---------- => fe                  , gt: fe                  
----------------力--cc----- => 力c                  , gt: 力c                  
------------人---史--------- => 人史                  , gt: 人史                  
------------二-------凤----- => 二凤                  , gt: 二凤                  
-------3------j----------- => 3j                  , gt: 3j                  
----------瓦----------乎---- => 瓦乎                  , gt: 瓦乎                  
---t------仁--------------- => t仁                  , gt: t仁                  
-------元元------------8---- => 元8                  , gt: 元8                  
----也--99----------------- => 也9                  , gt: 也9                  
--------丰------------5---- => 丰5                  , gt: 丰5                  
------------d-----3------- => d3                  , gt: d3                  
-----于-------------r------ => 于r                  , gt: 于r                  
----------------已----外---- => 已外                  , gt: 已外                  
-----w----------yy-------- => wy                  , gt: wy                  
------------史史-44--------- => 史4                  , gt: 史4                  
-----------------予--目----- => 予目                  , gt: 予目                  
-------长-----------88----- => 长8                  , gt: 长8                  
---rr--只------------------ => r只                  , gt: r只                  
---------i---c------------ => ic                  , gt: ic                  
----7------u-------------- => 7u                  , gt: 7u                  
---zz--------------m------ => zm                  , gt: zm                  
---------nn------尸尸------- => n尸                  , gt: n尸                  
-----------2----让--------- => 2让                  , gt: 2让                  
----------------b--爪------ => b爪                  , gt: b爪                  
-------干------y----------- => 干y                  , gt: 干y                  
--------l----------右------ => l右                  , gt: l右                  
----8------------1-------- => 81                  , gt: 81                  
-----让------------内------- => 让内                  , gt: 让内                  
-----------卫------末末------ => 卫末                  , gt: 卫末                  
-----土---------------分---- => 土分                  , gt: 土分                  
----------反----xx--------- => 反x                  , gt: 反x                  
-----------------工--儿----- => 工儿                  , gt: 工儿                  
-------------们------仔----- => 们仔                  , gt: 们仔                  
--------汇------旦旦--------- => 汇旦                  , gt: 汇旦                  
---r---y------------------ => ry                  , gt: ry                  
--------广-------凶--------- => 广凶                  , gt: 广凶                  
--------r----------5------ => r5                  , gt: r5                  
----5-------r------------- => 5r                  , gt: 5r                  
-------z--------乙--------- => z乙                  , gt: z乙                  
----h---市----------------- => h市                  , gt: h市                  
-----------代代--p---------- => 代p                  , gt: 代p                  
------丈------------市------ => 丈市                  , gt: 丈市                  
------r-----叉叉------------ => r叉                  , gt: r叉                  
-----卡卡-----日------------- => 卡日                  , gt: 卡日                  
----u------仗-------------- => u仗                  , gt: u仗                  
----------00----甩--------- => 0甩                  , gt: 0甩                  
-------扔----------他------- => 扔他                  , gt: 扔他                  
----瓜---旦旦---------------- => 瓜旦                  , gt: 瓜旦                  
----kk--------己----------- => k己                  , gt: k己                  
----------巴--9------------ => 巴9                  , gt: 巴9                  
------1-----z------------- => 1z                  , gt: 1z                  
--------乌----------rr----- => 乌r                  , gt: 乌r                  
-------s-----------2------ => s2                  , gt: s2                  
-------------k---x-------- => kx                  , gt: kx                  
-----勺-----------叹-------- => 勺叹                  , gt: 勺叹                  
--------3------双双--------- => 3双                  , gt: 3双                  
-----------------gg-3----- => g3                  , gt: g3                  
-----凡--------天----------- => 凡天                  , gt: 凡天                  
---i---g------------------ => ig                  , gt: ig                  
--------------十-i--------- => 十i                  , gt: 十i                  
----c-------22------------ => c2                  , gt: c2                  
--------1-----zz---------- => 1z                  , gt: 1z                  
------------11---引-------- => 1引                  , gt: 1引                  
-----互--------------6----- => 互6                  , gt: 互6                  
---------叉-------可-------- => 叉可                  , gt: 叉可                  
--------汇----禾------------ => 汇禾                  , gt: 汇禾                  
----44------------m------- => 4m                  , gt: 4m                  
-----讨---主---------------- => 讨主                  , gt: 讨主                  
----------g--00----------- => g0                  , gt: g0                  
------------申-----凡------- => 申凡                  , gt: 申凡                  
---------友--a------------- => 友a                  , gt: 友a                  
---------ss--------w------ => sw                  , gt: sw                  
---------队---丑------------ => 队丑                  , gt: 队丑                  
------------训训----ll------ => 训l                  , gt: 训l                  
--------艺艺---己------------ => 艺己                  , gt: 艺己                  
----代--j------------------ => 代j                  , gt: 代j                  
----目-------口口------------ => 目口                  , gt: 目口                  
------------zz---7-------- => z7                  , gt: z7                  
------3----才-------------- => 3才                  , gt: 3才                  
---------王--------日------- => 王日                  , gt: 王日                  
----jj------------马------- => j马                  , gt: j马                  
----v---马----------------- => v马                  , gt: v马                  
---------丘-------凶-------- => 丘凶                  , gt: 丘凶                  
-----------2-------二------ => 2二                  , gt: 2二                  
----------k---------礼----- => k礼                  , gt: k礼                  
---------仙------b--------- => 仙b                  , gt: 仙b                  
------------冬----ss------- => 冬s                  , gt: 冬s                  
--------------穴--7-------- => 穴7                  , gt: 穴7                  
--------叮叮----------oo---- => 叮o                  , gt: 叮o                  
-----丰------r------------- => 丰r                  , gt: 丰r                  
-------斤------p----------- => 斤p                  , gt: 斤p                  
----乏--------公------------ => 乏公                  , gt: 乏公                  
-------6-------nn--------- => 6n                  , gt: 6n                  
----------火-------k------- => 火k                  , gt: 火k                  
----j---久----------------- => j久                  , gt: j久                  
-------0------5----------- => 05                  , gt: 05                  
------去----a-------------- => 去a                  , gt: 去a                  
-----山------二------------- => 山二                  , gt: 山二                  
----------牙--u------------ => 牙u                  , gt: 牙u                  
---------屯----y----------- => 屯y                  , gt: 屯y                  
----aa--------------h----- => ah                  , gt: ah                  
-------r---立-------------- => r立                  , gt: r立                  
-----6---------o---------- => 6o                  , gt: 6o                  
----5-------2------------- => 52                  , gt: 52                  
-------v-----了------------ => v了                  , gt: v了                  
----l----ss--------------- => ls                  , gt: ls                  
-----------w--------ff---- => wf                  , gt: wf                  
------n---l--------------- => nl                  , gt: nl                  
--------------nn--云云------ => n云                  , gt: n云                  
------------------饥---立--- => 饥立                  , gt: 饥立                  
-----丙-----------巾-------- => 丙巾                  , gt: 丙巾                  
-------------8-----甘------ => 8甘                  , gt: 8甘                  
---kk-------j------------- => kj                  , gt: kj                  
----------什----仗---------- => 什仗                  , gt: 什仗                  
-----------------1--p----- => 1p                  , gt: 1p                  
-------nn-----f----------- => nf                  , gt: nf                  
-----予------------犬------- => 予犬                  , gt: 予犬                  
-------王王------夫---------- => 王夫                  , gt: 王夫                  
----r----q---------------- => rq                  , gt: rq                  
------9--c---------------- => 9c                  , gt: 9c                  
----------历---q----------- => 历q                  , gt: 历q                  
----------仁---井井---------- => 仁井                  , gt: 仁井                  
----------i------p-------- => ip                  , gt: ip                  
-----------------他---屯---- => 他屯                  , gt: 他屯                  
----p-----扔扔-------------- => p扔                  , gt: p扔                  
------------------下---仗--- => 下仗                  , gt: 下仗                  
------------------习--北---- => 习北                  , gt: 习北                  
---f--vv------------------ => fv                  , gt: fv                  
--------pp------习习-------- => p习                  , gt: p习                  
-------------6--j--------- => 6j                  , gt: 6j                  
-----------77------n------ => 7n                  , gt: 7n                  
---兄兄---------写----------- => 兄写                  , gt: 兄写                  
----x-----仔--------------- => x仔                  , gt: x仔                  
-----------布---史---------- => 布史                  , gt: 布史                  
-----目---n---------------- => 目n                  , gt: 目n                  
-----33-------p----------- => 3p                  , gt: 3p                  
-----扎----------风--------- => 扎风                  , gt: 扎风                  
------巾-----市市------------ => 巾市                  , gt: 巾市                  
---------2------j--------- => 2j                  , gt: 2j                  
-----互---------22--------- => 互2                  , gt: 互2                  
-----------丁--------ff---- => 丁f                  , gt: 丁f                  
--------瓦---订订------------ => 瓦订                  , gt: 瓦订                  
-------------------入--b--- => 入b                  , gt: 入b                  
---e-----d---------------- => ed                  , gt: ed                  
--------史------王---------- => 史王                  , gt: 史王                  
-------------7--b--------- => 7b                  , gt: 7b                  
--------旦-----手----------- => 旦手                  , gt: 旦手                  
-----片--区----------------- => 片区                  , gt: 片区                  
------------五----叫-------- => 五叫                  , gt: 五叫                  
-----------3-------历------ => 3历                  , gt: 3历                  
----x--------55----------- => x5                  , gt: x5                  
-----------m------y------- => my                  , gt: my                  
--------------h--x-------- => hx                  , gt: hx                  
----------xx----z--------- => xz                  , gt: xz                  
----------yy---------n---- => yn                  , gt: yn                  
----k-----b--------------- => kb                  , gt: kb                  
-----------冬--处----------- => 冬处                  , gt: 冬处                  
-------------爪---风-------- => 爪风                  , gt: 爪风                  
-------vv-------cc-------- => vc                  , gt: vc                  
-------55-----央央---------- => 5央                  , gt: 5央                  
----------o--hh----------- => oh                  , gt: oh                  
--------a--乌-------------- => a乌                  , gt: a乌                  
--------------p------f---- => pf                  , gt: pf                  
------y-----g------------- => yg                  , gt: yg                  
-----禾-----------文-------- => 禾文                  , gt: 禾文                  
-----申---------------y---- => 申y                  , gt: 申y                  
------------------m--22--- => m2                  , gt: m2                  
----------j--44----------- => j4                  , gt: j4                  
------------n---e--------- => ne                  , gt: ne                  
---8------r--------------- => 8r                  , gt: 8r                  
----xx------dd------------ => xd                  , gt: xd                  
---------夫--汇------------- => 夫汇                  , gt: 夫汇                  
----m------王王------------- => m王                  , gt: m王                  
-----------父--------i----- => 父i                  , gt: 父i                  
-------7-------22--------- => 72                  , gt: 72                  
-----------1---c---------- => 1c                  , gt: 1c                  
-----千----------让--------- => 千让                  , gt: 千让                  
--------dd-------9-------- => d9                  , gt: d9                  
---22----------凤---------- => 2凤                  , gt: 2凤                  
-------------t------凤----- => t凤                  , gt: t凤                  
-------w---------日-------- => w日                  , gt: w日                  
-----------0--o----------- => 0o                  , gt: 0o                  
------------2---6--------- => 26                  , gt: 26                  
-----丈---------------灭---- => 丈灭                  , gt: 丈灭                  
------------------甲---5--- => 甲5                  , gt: 甲5                  
---巨巨--------3------------ => 巨3                  , gt: 巨3                  
---ll---------pp---------- => lp                  , gt: lp                  
----xx--5----------------- => x5                  , gt: x5                  
--------井----------人------ => 井人                  , gt: 井人                  
---册册------------甘-------- => 册甘                  , gt: 册甘                  
-----印印----艺-------------- => 印艺                  , gt: 印艺                  
------bb----jj------------ => bj                  , gt: bj                  
---------3----77---------- => 37                  , gt: 37                  
-----扎---------------支---- => 扎支                  , gt: 扎支                  
----8--------史------------ => 8史                  , gt: 8史                  
--------凡--------2-------- => 凡2                  , gt: 凡2                  
-------9---------丸-------- => 9丸                  , gt: 9丸                  
----------s---------玉----- => s玉                  , gt: s玉                  
--------8--ff------------- => 8f                  , gt: 8f                  
---------------无--hh------ => 无h                  , gt: 无h                  
-----叮--------------飞----- => 叮飞                  , gt: 叮飞                  
-----------寸寸-----白------- => 寸白                  , gt: 寸白                  
-------p----------q------- => pq                  , gt: pq                  
----oo--------------刊----- => o刊                  , gt: o刊                  
-----------a---l---------- => al                  , gt: al                  
-------------宁--s--------- => 宁s                  , gt: 宁s                  
-----仅--------------区----- => 仅区                  , gt: 仅区                  
-------e---------6-------- => e6                  , gt: e6                  
----8----------2---------- => 82                  , gt: 82                  
-------a------ss---------- => as                  , gt: as                  
-------x-------3---------- => x3                  , gt: x3                  
--------才----它------------ => 才它                  , gt: 才它                  
----l--2------------------ => l2                  , gt: l2                  
-------y-----------x------ => yx                  , gt: yx                  
-----8--yy---------------- => 8y                  , gt: 8y                  
---------nn--3------------ => n3                  , gt: n3                  
----q----------z---------- => qz                  , gt: qz                  
-----丑------丁------------- => 丑丁                  , gt: 丑丁                  
-----什什-------劝----------- => 什劝                  , gt: 什劝                  
---------书-------平-------- => 书平                  , gt: 书平                  
------------8------仓------ => 8仓                  , gt: 8仓                  
--------g-----9----------- => g9                  , gt: g9                  
-----------包-----甩-------- => 包甩                  , gt: 包甩                  
-------d---s-------------- => ds                  , gt: ds                  
-----节---鸟---------------- => 节鸟                  , gt: 节鸟                  
----鸟-----------月--------- => 鸟月                  , gt: 鸟月                  
-------------仙-------号---- => 仙号                  , gt: 仙号                  
-----------------乙---a---- => 乙a                  , gt: 乙a                  
----r-------------旧------- => r旧                  , gt: r旧                  
---------33--四------------ => 3四                  , gt: 3四                  
---------------v---h------ => vh                  , gt: vh                  
--------m--------末-------- => m末                  , gt: m末                  
----q-----e--------------- => qe                  , gt: qe                  
--------------分------开---- => 分开                  , gt: 分开                  
--------亿---0------------- => 亿0                  , gt: 亿0                  
------------太-------w----- => 太w                  , gt: 太w                  
-------5-------x---------- => 5x                  , gt: 5x                  
-----打------右------------- => 打右                  , gt: 打右                  
-------------n-------叫---- => n叫                  , gt: n叫                  
-------------乏---专-------- => 乏专                  , gt: 乏专                  
---------------令令---历----- => 令历                  , gt: 令历                  
-------付----九------------- => 付九                  , gt: 付丸                  
------又------扒------------ => 又扒                  , gt: 又扒                  
-----------------功--只只---- => 功只                  , gt: 功只                  
----u---x----------------- => ux                  , gt: ux                  
------------6----礼-------- => 6礼                  , gt: 6礼                  
-------------汉---e-------- => 汉e                  , gt: 汉e                  
-----------不---------扒---- => 不扒                  , gt: 不扒                  
--------------e--4-------- => e4                  , gt: e4                  
-------e-----y------------ => ey                  , gt: ey                  
------------o------几------ => o几                  , gt: o几                  
-----------6--------轧----- => 6轧                  , gt: 6轧                  
----------------人---乎----- => 人乎                  , gt: 人乎                  
---------义---用------------ => 义用                  , gt: 义用                  
-----x------风------------- => x风                  , gt: x风                  
------------------飞---6--- => 飞6                  , gt: 飞6                  
-----之------一一------------ => 之一                  , gt: 父一                  
----------头--------飞------ => 头飞                  , gt: 头飞                  
----币币------------l------- => 币l                  , gt: 币l                  
--------叮--禾-------------- => 叮禾                  , gt: 叮禾                  
------------之--k---------- => 之k                  , gt: 之k                  
--------b--------y-------- => by                  , gt: by                  
-----卜-------叫------------ => 卜叫                  , gt: 卜叫                  
----uu--------------z----- => uz                  , gt: uz                  
-------c-------1---------- => c1                  , gt: c1                  
-----------d---汇---------- => d汇                  , gt: d汇                  
----允允--------3----------- => 允3                  , gt: 允3                  
--------仅------------叮---- => 仅叮                  , gt: 仅叮                  
---------二--------巾------- => 二巾                  , gt: 二巾                  
----也--------------仇仇----- => 也仇                  , gt: 也仇                  
---------广广--仁------------ => 广仁                  , gt: 广仁                  
---------------h----丙----- => h丙                  , gt: h丙                  
------------凶---门--------- => 凶门                  , gt: 凶门                  
---q---x------------------ => qx                  , gt: qx                  
-------u--jj-------------- => uj                  , gt: uj                  
-------旧---鸟鸟------------- => 旧鸟                  , gt: 旧鸟                  
-------t-----n------------ => tn                  , gt: tn                  
---r---------w------------ => rw                  , gt: rw                  
-------l-------k---------- => lk                  , gt: lk                  
--------------已---外外------ => 已外                  , gt: 已外                  
----------------c--99----- => c9                  , gt: c9                  
---ee---打----------------- => e打                  , gt: e打                  
-----------们-----友-------- => 们友                  , gt: 们友                  
-----马------------乡------- => 马乡                  , gt: 马乡                  
---t---历------------------ => t历                  , gt: t历                  
-----屯屯-------44---------- => 屯4                  , gt: 屯4                  
---44-------------瓦瓦------ => 4瓦                  , gt: 4瓦                  
----------父--2------------ => 父2                  , gt: 父2                  
----i--mm----------------- => im                  , gt: im                  
------寸------------叮叮----- => 寸叮                  , gt: 寸叮                  
----g----8---------------- => g8                  , gt: g8                  
------6--b---------------- => 6b                  , gt: 6b                  
------s--e---------------- => se                  , gt: se                  
----------u---------r----- => ur                  , gt: ur                  
-----主------------仔------- => 主仔                  , gt: 主仔                  
----见------------w-------- => 见w                  , gt: 见w                  
---------rr----y---------- => ry                  , gt: ry                  
-----------丘--------ee---- => 丘e                  , gt: 丘e                  
----0-----------f--------- => 0f                  , gt: 0f                  
-------o-----饥------------ => o饥                  , gt: o饥                  
---7---------------t------ => 7t                  , gt: 7t                  
-----------------甲甲---以以-- => 甲以                  , gt: 甲以                  
-----工------禾------------- => 工禾                  , gt: 工禾                  
--------------口---叫------- => 口叫                  , gt: 口叫                  
---------------下---甲甲----- => 下甲                  , gt: 下甲                  
-----------------n----l--- => nl                  , gt: nl                  
-----------f------旧------- => f旧                  , gt: f旧                  
---v--------q------------- => vq                  , gt: vq                  
-------u-----s------------ => us                  , gt: us                  
-----------节节-----f------- => 节f                  , gt: 节f                  
--------n-----h----------- => nh                  , gt: nh                  
---------mm--9------------ => m9                  , gt: m9                  
-----------mm-------扒----- => m扒                  , gt: m扒                  
-----宁-------------丙------ => 宁丙                  , gt: 宁丙                  
---ff------------七-------- => f七                  , gt: f七                  
--------石-----------灭----- => 石灭                  , gt: 石灭                  
--------引--q-------------- => 引q                  , gt: 引q                  
----匆----tt--------------- => 匆t                  , gt: 匆t                  
---k---山------------------ => k山                  , gt: k山                  
-----闪------1------------- => 闪1                  , gt: 闪1                  
------------句------o------ => 句o                  , gt: 句o                  
----乌-----d--------------- => 乌d                  , gt: 乌d                  
--------占---------9------- => 占9                  , gt: 占9                  
-------二-----凡------------ => 二凡                  , gt: 二凡                  
-------77--------p-------- => 7p                  , gt: 7p                  
-----为为----9-------------- => 为9                  , gt: 为9                  
---------分----------丘----- => 分丘                  , gt: 分丘                  
-----6----------立--------- => 6立                  , gt: 6主                  
------i----------4-------- => i4                  , gt: i4                  
--------卜----h------------ => 卜h                  , gt: 卜h                  
-----------止----f--------- => 止f                  , gt: 止f                  
-----r--------------夫----- => r夫                  , gt: r夫                  
----土----才---------------- => 土才                  , gt: 土才                  
-----------------k-nn----- => kn                  , gt: kn                  
---------o------从--------- => o从                  , gt: o从                  
----y-------仇------------- => y仇                  , gt: y仇                  
----c-------------jj------ => cj                  , gt: cj                  
-------l--g--------------- => lg                  , gt: lg                  
-------9---------r-------- => 9r                  , gt: 9r                  
-----------------乎--玉----- => 乎玉                  , gt: 乎玉                  
---------了---山------------ => 了山                  , gt: 了山                  
----------------以---个----- => 以个                  , gt: 以个                  
-----------幻---写---------- => 幻写                  , gt: 幻写                  
-----牛-------mm----------- => 牛m                  , gt: 牛m                  
-------鸟鸟-------u--------- => 鸟u                  , gt: 鸟u                  
-----归----升--------------- => 归升                  , gt: 归升                  
--------今---甩------------- => 今甩                  , gt: 今甩                  
-----刊-------------叶------ => 刊叶                  , gt: 刊叶                  
----h---乌----------------- => h乌                  , gt: h乌                  
-----------v--c----------- => vc                  , gt: vc                  
-------叶--半--------------- => 叶半                  , gt: 叶半                  
-----止-------无------------ => 止无                  , gt: 止无                  
--------------仅--刊-------- => 仅刊                  , gt: 仅刊                  
-------a---s-------------- => as                  , gt: as                  
--------------车-----忆----- => 车忆                  , gt: 车忆                  
--------------古-----未未---- => 古未                  , gt: 古未                  
--------------6--六六------- => 6六                  , gt: 6六                  
-------------k---mm------- => km                  , gt: km                  
------------予---比--------- => 予比                  , gt: 予比                  
-----------a------水------- => a水                  , gt: a水                  
-----------------丸---务---- => 丸务                  , gt: 丸务                  
-------7----jj------------ => 7j                  , gt: 7j                  
------------由--------仔仔--- => 由仔                  , gt: 由仔                  
---------------广广---仪----- => 广仪                  , gt: 广仪                  
------太-----------布------- => 太布                  , gt: 太布                  
---------ii---------印----- => i印                  , gt: i印                  
--------勺------------9---- => 勺9                  , gt: 勺9                  
--------什什------------9--- => 什9                  , gt: 什9                  
------------------9--0---- => 90                  , gt: 90                  
-----a-------训------------ => a训                  , gt: a训                  
--------灭---礼------------- => 灭礼                  , gt: 灭礼                  
----------扑--北北----------- => 扑北                  , gt: 扑北                  
-----艺-----------未-------- => 艺未                  , gt: 艺未                  
--------仆------9---------- => 仆9                  , gt: 仆9                  
---------------为---ll----- => 为l                  , gt: 为l                  
---y-----5---------------- => y5                  , gt: y5                  
--------丈--------分分------- => 丈分                  , gt: 丈分                  
----------i---令----------- => i令                  , gt: i令                  
-----------------s--a----- => sa                  , gt: sa                  
--------mm---77----------- => m7                  , gt: m7                  
------------巴------升------ => 巴升                  , gt: 巴几                  
--------------忆--44------- => 忆4                  , gt: 忆4                  
-----开--------------nn---- => 开n                  , gt: 开n                  
----b-------------王------- => b王                  , gt: b玉                  
--------6---片------------- => 6片                  , gt: 6片                  
------------宁-r----------- => 宁r                  , gt: 宁r                  
--------业---------尸------- => 业尸                  , gt: 业尸                  
--------tt------n--------- => tn                  , gt: tn                  
-----g---主---------------- => g主                  , gt: g主                  
------k------o------------ => ko                  , gt: ko                  
---------r---------汉------ => r汉                  , gt: r汉                  
---------0---6------------ => 06                  , gt: 06                  
-----玉-----火-------------- => 玉火                  , gt: 玉火                  
--------0---------6------- => 06                  , gt: 06                  
----------0---扑----------- => 0扑                  , gt: 0扑                  
-----兰----------元--------- => 兰元                  , gt: 兰元                  
------义------------4------ => 义4                  , gt: 义4                  
--------------g--v-------- => gv                  , gt: gv                  
----3-----0--------------- => 30                  , gt: 30                  
--------毛----------开------ => 毛开                  , gt: 毛开                  
---------ii---古----------- => i古                  , gt: i古                  
-----------w-------ll----- => wl                  , gt: wl                  
-----------oo--巴---------- => o巴                  , gt: o巴                  
----zz----------贝--------- => z贝                  , gt: z贝                  
----父---------饥----------- => 父饥                  , gt: 父饥                  
----鸟------------目-------- => 鸟目                  , gt: 乌目                  
-------击-----yy----------- => 击y                  , gt: 击y                  
----------k--6------------ => k6                  , gt: k6                  
--------穴-----令----------- => 穴令                  , gt: 穴令                  
------------心--------t---- => 心t                  , gt: 心t                  
--------8---土------------- => 8土                  , gt: 8土                  
----------------ll---仆---- => l仆                  , gt: l仆                  
----牛---l----------------- => 牛l                  , gt: 牛l                  
-------4-------99--------- => 49                  , gt: 49                  
----心心-------------汁------ => 心汁                  , gt: 心汁                  
-----央央-------------刊----- => 央刊                  , gt: 央刊                  
----月月---升---------------- => 月升                  , gt: 月升                  
--------凤---从------------- => 凤从                  , gt: 凤从                  
-----------x------8------- => x8                  , gt: x8                  
---q---5------------------ => q5                  , gt: q5                  
----下-----a--------------- => 下a                  , gt: 下a                  
----子子---------为---------- => 子为                  , gt: 子为                  
----o----a---------------- => oa                  , gt: oa                  
------t--44--------------- => t4                  , gt: t4                  
-------------ll-2--------- => l2                  , gt: l2                  
------见----s-------------- => 见s                  , gt: 见s                  
---o------斥斥-------------- => o斥                  , gt: o斥                  
----------幻幻----------于--- => 幻于                  , gt: 幻于                  
-------b----q------------- => bq                  , gt: bq                  
-----甘-------勾------------ => 甘勾                  , gt: 甘勾                  
------巴巴---------订-------- => 巴订                  , gt: 巴订                  
--------d-----------元----- => d元                  , gt: d元                  
------n---5--------------- => n5                  , gt: n5                  
--------贝-------叶叶-------- => 贝叶                  , gt: 贝叶                  
--------印--末-------------- => 印末                  , gt: 印生                  
---11--一一----------------- => 1一                  , gt: 1一                  
-------叉----7------------- => 叉7                  , gt: 叉7                  
----p--匹------------------ => p匹                  , gt: p匹                  
